"title","age","genres","imdb","rotten_tomatoes","keywords","year","netflix","hulu","prime","disney"
"Fauda","TV-14","Thriller, Action & Adventure, Drama, Crime",8.2,100,"Military, War, Suspense, Spy",2015,1,0,0,0
"Star Trek","TV-PG","Action & Adventure, Drama, Science-Fiction, Fantasy",8.3,80,"Netflix, Prime Video, Hulu, CBS All Access",1966,1,1,1,0
"I Am Not Okay with This","TV-MA","Action & Adventure, Comedy, Drama, Fantasy, Science-Fiction",7.6,85,"",2020,1,0,0,0
"Anne with an E","TV-PG","",8.7,62,"",2017,1,0,0,0
"DC's Legends of Tomorrow","TV-14","Action & Adventure, Science-Fiction, Drama, Fantasy",6.8,87,"Time Travel, Supernatural, Superhero, Comic Book, Adaptation",2016,1,0,0,0
"The OA","TV-14","Drama, Fantasy, Mystery, Science-Fiction",7.9,84,"",2016,1,0,0,0
"Outer Banks","TV-MA","Action & Adventure, Crime, Drama, Mystery, Romance, Thriller",7.6,72,"",2020,1,0,0,0
"Chilling Adventures of Sabrina","TV-14","Action & Adventure, Drama, Fantasy, Horror, Mystery, Thriller, Science-Fiction",7.6,84,"High School, Magic, Supernatural, Comic Book, Adaptation, Teen",2018,1,0,0,0
"The Vietnam War","TV-MA","",9.1,98,"",2017,1,0,0,0
"Gilmore Girls","TV-14","",8.1,85,"High School, Dating, College, Teen",2000,1,0,0,0
"Into the Night","TV-MA","Drama, Science-Fiction, Thriller, Fantasy",7.1,83,"",2020,1,0,0,0
"iZombie","TV-14","Drama, Science-Fiction, Action & Adventure, Crime, Horror, Comedy, Fantasy",7.9,91,"Apocalypse, Doctor, Supernatural, Superhero, Comic Book, Zombie, Adaptation",2015,1,0,0,0
"Good Girls","TV-14","Drama, Comedy, Crime",7.9,87,"Free Services, Netflix, Hulu, NBC, fuboTV",2018,1,1,0,0
"Neon Genesis Evangelion","TV-14","Action & Adventure, Anime, Drama, Science-Fiction, Animation, Thriller, Fantasy",8.5,100,"Robot, Technology, Science, Psychology",1995,1,0,0,0
"Weeds","TV-MA","Comedy, Crime, Drama",7.9,70,"",2005,1,0,0,0
"A Series of Unfortunate Events","TV-PG","Action & Adventure, Drama, Family, Mystery, Comedy",7.8,96,"",2017,1,0,0,0
"Into the Badlands","TV-14","",8,83,"Dystopia, Apocalypse, Martial Arts, Futuristic",2015,1,0,0,0
"Waco","TV-MA","Crime, Cult, Drama, Thriller, History",7.9,68,"",2018,1,0,0,0
"NCIS","TV-14","Action & Adventure, Mystery, Crime, Drama, Comedy",7.8,40,"Free Services, Netflix, CBS All Access, USA, fuboTV",2003,1,0,0,0
"Hollywood","TV-MA","",7.6,57,"",2020,1,0,0,0
"Grace and Frankie","TV-PG","Comedy, LGBTQ, Drama",8.3,89,"",2015,1,0,0,0
"Halt and Catch Fire","TV-14","",8.4,90,"",2014,1,0,0,0
"Naruto","TV-PG","Action & Adventure, Anime, Animation, Comedy, Fantasy, Thriller, Drama, Mystery",8.3,NA,"Friendship, Martial Arts, Supernatural, Fighting, Adaptation",2002,1,1,0,0
"Scandal","TV-14","Drama, Crime, Romance, Thriller",7.7,93,"",2012,1,0,0,0
"The Midnight Gospel","TV-MA","Animation, Action & Adventure, Comedy, Fantasy, Science-Fiction",8.3,90,"Space, Psychology, Genius, Mature",2020,1,0,0,0
"Lost in Space","TV-PG","Science-Fiction, Action & Adventure, Drama, Family, Mystery, Fantasy",7.3,75,"Dystopia, Robot, Space, Science, Survival",2018,1,0,0,0
