"title","age","genres","imdb","rotten_tomatoes","keywords","year","netflix","hulu","prime","disney"
"Little Women: LA","TV-14","",5.4,NA,"Free Services, Prime Video, Hulu, Lifetime",2014,0,1,1,0
"Undercover Boss","TV-PG","",5.8,NA,"Free Services, Hulu, CBS All Access, CNBC, fuboTV",2010,0,1,0,0
"Baka and Test: Summon the Beasts","TV-PG","Animation, Anime, Comedy, Fantasy, Romance, Science-Fiction",7.3,NA,"High School, Based on Books, Magic, Supernatural, Parody",2010,0,1,0,0
"The New Woody Woodpecker Show","TV-G","Animation, Comedy, Family, Children",6.5,NA,"",1999,0,1,0,0
"The Comedians","TV-MA","",6.7,58,"",2015,0,1,0,0
"Black Jesus","TV-MA","",6.9,NA,"Free Services, Hulu, Adult Swim, fuboTV",2014,0,1,0,0
"Lincoln Heights","TV-PG","Drama, Action & Adventure, Family",7.7,NA,"",2007,0,1,0,0
"Bless the Harts","TV-14","",4.9,82,"Free Services, Hulu, FOX, fuboTV",2019,0,1,0,0
"Handy Manny","TV-G","Animation, Children, Family, Comedy",5.6,NA,"",2006,0,1,0,1
"Hikaru no Go","TV-G","Animation, Fantasy, Sport, Science-Fiction",8.3,NA,"",2001,0,1,0,0
"Bizarre Foods with Andrew Zimmern","TV-PG","Travel, Food, Documentary",7.7,NA,"Free Services, Hulu, Travel Channel, fuboTV",2006,0,1,0,0
"Blast of Tempest","TV-14","Animation, Anime, Action & Adventure, Fantasy, Mystery, Science-Fiction, Drama",7.6,NA,"",2012,0,1,0,0
"The Secret of Crickley Hall",NA,"Drama, Horror, Mystery",6.9,NA,"",2012,0,1,0,0
"Kiri",NA,"Crime, Drama, Mystery",6.6,89,"",2018,0,1,0,0
"Vanished","TV-MA","Drama, Mystery, Thriller",7,67,"",2006,0,1,0,0
"Bedlam",NA,"Drama, Horror, Mystery",6.6,44,"",2011,0,1,0,0
"The Lucy Show","TV-PG","",7.2,NA,"",1962,0,1,0,0
"Little Big Shots","TV-G","Comedy, Family, Reality",7.2,NA,"Free Services, HBO MAX, Hulu, NBC, fuboTV",2016,0,1,0,0
"The Little Couple","TV-G","",6.8,NA,"",2009,0,1,0,0
"Astro Boy","TV-G","Animation, Anime, Action & Adventure, Comedy, Family, Fantasy, Science-Fiction",7.3,NA,"Robot, Supernatural, Superhero, Science, Cartoon",1980,0,1,1,0
"Upper Middle Bogan","TV-14","",7.9,NA,"",2013,0,1,0,0
"Astra Lost in Space","TV-14","Animation, Anime, Action & Adventure, Science-Fiction, Fantasy",8,NA,"Friendship, Dystopia, Space, Disaster, Survival, Adaptation",2019,0,1,0,0
"Wolf Girl & Black Prince","TV-14","Animation, Anime, Comedy, Romance",7.1,NA,"",2014,0,1,0,0
"Murder in the Heartland","TV-14","",7.8,NA,"",2017,0,1,0,0
"Top Gear","TV-PG","Comedy, Documentary, Reality",5.3,NA,"United Kingdom, America",2010,0,1,0,0
"Abandoned","TV-14","Documentary, Reality, Travel",8.4,NA,"",2016,0,1,0,0
"Beat Bobby Flay","TV-G","",6.3,NA,"Free Services, Hulu, Food Network, fuboTV",2014,0,1,0,0
"Blood-C","TV-MA","Action & Adventure, Anime, Animation, Fantasy, Horror, Mystery, Thriller",6.3,NA,"",2011,0,1,0,0
"Unexpected","TV-14","",5.9,NA,"",2017,0,1,0,0
"The Bachelor Presents: Listen to Your Heart","TV-14","Drama, Reality, Romance, Game Show",5,NA,"",2020,0,1,0,0
"Absolute Duo","TV-MA","Action & Adventure, Anime, Animation, Romance, Fantasy, Comedy",6.5,NA,"",2015,0,1,0,0
"The Circus","TV-14","",7.1,NA,"",2016,0,1,0,0
"Diesel Brothers","TV-14","Reality, Comedy, Documentary",6.6,NA,"",2016,0,1,0,0
"The F Word","TV-MA","Food, Reality, Documentary",6.9,NA,"",2005,0,1,0,0
"Second chance","TV-PG","Drama, Mystery, Romance, Comedy, Fantasy, Science-Fiction",6.9,NA,"America, Colombia",2005,0,1,0,0
"The Wine Show",NA,"",8.9,NA,"",2016,0,1,0,0
"F*ck That's Delicious","TV-MA","Comedy, Reality, Documentary, Food, Travel",7.9,NA,"",2016,0,1,0,0
"Getting On","TV-14","",8.1,NA,"",2009,0,1,0,0
"Hollyoaks","TV-14","",4.7,NA,"",1995,0,1,0,0
"No Activity","TV-MA","",6.7,NA,"",2017,0,1,0,0
"Little Women: Atlanta","TV-14","",5.1,NA,"",2016,0,1,0,0
"Nightmare Next Door","TV-14","Documentary, Crime, Mystery, Thriller, Horror",7.1,NA,"",2011,0,1,0,0
"The Beautiful Lie",NA,"",7.3,NA,"",2015,0,1,0,0
"Webster","TV-G","",5.7,NA,"",1983,0,1,0,0
"Hunderby","TV-14","",7.4,NA,"",2012,0,1,0,0
"Coupling","TV-PG","",3.6,NA,"",2000,0,1,0,0
"Big Windup!","TV-PG","Animation, Comedy, Drama, Sport",7.6,NA,"",2007,0,1,0,0
"Extreme Ghostbusters","TV-PG","Animation, Comedy, Family, Action & Adventure, Mystery, Children, Science-Fiction",6.9,NA,"",1997,0,1,0,0
"Tim and Eric's Bedtime Stories","TV-MA","",7.9,NA,"Free Services, Hulu, Adult Swim, fuboTV",2014,0,1,0,0
"Rick Steves' Europe","TV-G","Documentary, Travel, Biography, History",8.4,NA,"",2000,0,1,1,0
"Cold Squad","TV-14","Crime, Drama, Mystery",6.9,NA,"",1998,0,1,1,0
"Flying Witch","TV-G","Science-Fiction, Anime, Animation, Comedy, Fantasy",7.2,NA,"",2016,0,1,0,0
"The Real Housewives of Orange County","TV-14","Drama, Reality, Documentary",4.1,NA,"",2006,0,1,0,0
"Princess Tutu","TV-14","Action & Adventure, Animation, Comedy, Drama, Fantasy, Romance",8.1,NA,"",2002,0,1,1,0
"You Bet Your Life",NA,"Comedy, Game Show, Family",8.4,NA,"",1947,0,1,0,0
"The Commish","TV-14","Comedy, Crime, Drama, Mystery",7.1,NA,"",1991,0,1,0,0
"Amagi Brilliant Park","TV-14","Animation, Anime, Comedy, Fantasy, Romance, Drama",7,NA,"",2014,0,1,0,0
"Renegade",NA,"Action & Adventure, Crime, Drama",6,NA,"",1992,0,1,0,0
"Is This a Zombie?","TV-14","Animation, Anime, Action & Adventure, Comedy, Fantasy, Romance",7.1,NA,"Based on Books, Martial Arts, Vampire, Magic, Supernatural, Zombie, Parody, Mature",2011,0,1,0,0
"Ellen's Game of Games","TV-PG","Game Show, Comedy, Family",5.6,NA,"HBO MAX, Hulu, NBC, fuboTV",2017,0,1,0,0
"Arliss",NA,"",7,NA,"",1996,0,1,0,0
"Prey","TV-14","Crime, Drama, Thriller",7.2,NA,"",2014,0,1,0,0
"Kung Fu Panda: Legends of Awesomeness","TV-PG","Action & Adventure, Animation, Science-Fiction, Comedy, Fantasy, Children",6.1,NA,"",2011,0,1,0,0
"Hangin' with Mr. Cooper","TV-PG","Comedy, Family, Sport",6.3,NA,"",1992,0,1,0,0
"The Impostor",NA,"",7.8,NA,"",2014,0,1,0,0
"Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru",NA,"Animation, Action & Adventure, Comedy, Drama, Fantasy",7.4,NA,"",2019,0,1,0,0
"Fashion House","TV-MA","",6.5,NA,"",2006,0,1,0,0
"L.A. Dragnet",NA,"",7.1,NA,"",2003,0,1,0,0
"The Weekly","TV-MA","",6.5,38,"",2019,0,1,0,0
"My Favorite Martian","TV-G","Comedy, Family, Science-Fiction, Animation, Fantasy",7.3,NA,"",1963,0,1,0,0
"Anyone But Me","TV-14","Drama, LGBTQ, Comedy",7.1,NA,"",2009,0,1,1,0
"Tiger & Bunny","TV-14","Action & Adventure, Anime, Animation, Science-Fiction, Comedy, Crime",7.4,NA,"",2011,0,1,0,0
"Are You Smarter Than a 5th Grader?","TV-PG","Reality, Family, Game Show",4.9,NA,"",2007,0,1,0,0
"Obsession: Dark Desires","TV-14","Drama, Documentary, Crime",7.4,NA,"",2014,0,1,0,0
"Space Brothers","TV-14","Animation, Anime, Comedy, Science-Fiction, Drama",8.1,NA,"",2012,0,1,0,0
"Mr. D",NA,"",6.5,NA,"",2012,0,1,0,0
"Ruyi's Royal Love in the Palace",NA,"Drama, History, Romance",7.6,NA,"",2018,0,1,1,0
"Hakuoki -Demon Of The Fleeting Blossom-","TV-MA","Animation, Action & Adventure, Drama, Fantasy, Science-Fiction",7.4,NA,"",2010,0,1,0,0
"The Bisexual",NA,"",6.1,92,"",2018,0,1,0,0
"Blue Dragon",NA,"Animation, Children, Action & Adventure, Comedy, Fantasy",6.3,NA,"",2007,0,1,0,0
"Alvinnn!!! and The Chipmunks","TV-PG","Animation, Comedy, Family, Musical",4.5,NA,"Free Services, Hulu, Nick, fuboTV",2015,0,1,0,0
"Rosa Diamante",NA,"",8.3,NA,"",2012,0,1,0,0
"The Gumby Show","TV-G","Animation, Action & Adventure, Comedy, Family, Fantasy",7,NA,"",1955,0,1,1,0
"Marriage Boot Camp: Reality Stars","TV-14","",4.5,NA,"",2014,0,1,0,0
"Jimmy Kimmel Live!","TV-14","",6.6,NA,"",2003,0,1,0,0
"Kids Baking Championship","TV-G","Food, Reality, Game Show",7,NA,"Free Services, Hulu, Food Network, fuboTV",2015,0,1,0,0
"Born This Way","TV-PG","Reality, Comedy, Drama",8.3,NA,"",2015,0,1,0,0
"Conviction","TV-14","Drama, Crime, Mystery",7,NA,"",2006,0,1,0,0
"What Would You Do?","TV-PG","",7.2,NA,"",2008,0,1,0,0
"Corpse Princess","TV-PG","Action & Adventure, Anime, Animation, Fantasy, Drama, Horror, Thriller, Science-Fiction",6.9,NA,"",2008,0,1,0,0
"Madeline","TV-G","Animation, Children, Family, Romance",6.9,NA,"Free Services, Prime Video, Hulu, Starz, CBS All Access",1993,0,1,1,0
"Heartstrings","TV-14","Comedy, Drama, Romance",7.2,NA,"",2011,0,1,0,0
"Watch Over Me","TV-14","",6.4,NA,"",2006,0,1,0,0
"The Dude Perfect Show","TV-PG","Action & Adventure, Reality, Comedy",6.6,NA,"",2016,0,1,0,0
"Dream Corp LLC","TV-14","",7.1,NA,"Free Services, Hulu, Adult Swim, fuboTV",2016,0,1,0,0
"Worth It",NA,"Reality, Comedy, Food",8.6,NA,"",2016,0,1,1,0
"The Dick Cavett Show",NA,"",8.4,NA,"",1968,0,1,0,0
"Genius Junior","TV-G","",7.5,NA,"",2018,0,1,0,0
"Yu-Gi-Oh! 5D's","TV-G","Action & Adventure, Animation, Fantasy, Science-Fiction",6.7,NA,"",2008,0,1,1,0
"Aria the Scarlet Ammo","TV-14","Action & Adventure, Anime, Animation, Comedy, Science-Fiction, Fantasy, Drama, Romance, Thriller",6.8,NA,"",2011,0,1,0,0
"Saints & Sinners","TV-14","",7.3,NA,"",2016,0,1,0,0
"James May's Man Lab",NA,"",7.8,NA,"",2010,0,1,1,0
"The Wall","TV-PG","",5.9,NA,"Free Services, Hulu, NBC, fuboTV",2016,0,1,0,0
"Feed the Beast","TV-14","",6.7,23,"",2016,0,1,0,0
"Love & Hip Hop Hollywood","TV-14","",5.2,NA,"",2014,0,1,0,0
"Here's Lucy","TV-G","",6.9,NA,"",1968,0,1,1,0
"T.U.F.F. Puppy","TV-PG","Animation, Children, Comedy, Action & Adventure, Crime, Family",5.6,NA,"",2010,0,1,0,0
"Behind Bars: Rookie Year","TV-14","",7.7,NA,"",2015,0,1,0,0
"Celia",NA,"Biography, Drama, Family",8.2,NA,"",2015,0,1,0,0
"Ask This Old House","TV-G","Home & Garden, Reality, Documentary",7.6,NA,"",2002,0,1,0,0
"Black Cat","TV-14","Action & Adventure, Anime, Animation, Crime, Mystery, Science-Fiction, Comedy, Fantasy",7.1,NA,"",2005,0,1,0,0
"Australia's Next Top Model",NA,"",6,NA,"",2005,0,1,0,0
"The Loop","TV-14","",7.4,NA,"",2006,0,1,0,0
"Nicky, Ricky, Dicky & Dawn","TV-G","Comedy, Family, Children",5.1,NA,"",2014,0,1,0,0
"Sin tetas no hay paraíso","TV-MA","Drama, Romance, Thriller, Action & Adventure",5.6,NA,"",2008,0,1,0,0
"Still 17",NA,"Comedy, Romance, Drama, Crime, Mystery",7.8,NA,"",2018,0,1,0,0
"Astroblast!","TV-G","",6.8,NA,"",2014,0,1,0,0
"Insane Pools: Off the Deep End","TV-PG","",7.1,NA,"",2015,0,1,0,0
"1969",NA,"Documentary, History, Reality",6.9,NA,"",2019,0,1,0,0
"The Murder of Laci Peterson","TV-14","Documentary, Crime, Reality",7.4,NA,"",2017,0,1,0,0
"Curiosity","TV-14","",7.8,NA,"",2011,0,1,1,0
"Sherman's Showcase","TV-MA","",5.4,100,"",2019,0,1,0,0
"Food Network Star","TV-PG","Reality, Game Show, Food",6.3,NA,"Free Services, Hulu, Food Network, fuboTV",2005,0,1,0,0
"Senryu Girl","TV-PG","Animation, Anime, Comedy, Drama, Romance",7,NA,"",2019,0,1,0,0
"Sherlock Holmes",NA,"Crime, Drama, Mystery",7.7,NA,"",1954,0,1,0,0
"Taken at Birth",NA,"History, Crime, Documentary, Reality",8.3,NA,"",2019,0,1,0,0
"Neon Joe, Werewolf Hunter","TV-14","Comedy, Horror, Science-Fiction, Fantasy",7.2,NA,"",2015,0,1,0,0
"VanDread","TV-14","Action & Adventure, Anime, Animation, Comedy, Science-Fiction, Drama",7.1,NA,"",2000,0,1,0,0
"Rica, Famosa, Latina",NA,"",5.5,NA,"",2014,0,1,0,0
"Nanny and the Professor",NA,"Children, Comedy, Fantasy, Science-Fiction",7.1,NA,"",1970,0,1,0,0
"Young Hercules","TV-PG","Action & Adventure, Fantasy, Science-Fiction",5.8,NA,"",1998,0,1,0,0
"High School USA!","TV-MA","",6.4,44,"",2013,0,1,0,0
"Gap Year",NA,"",7,NA,"",2017,0,1,0,0
"The First 48 Presents: Homicide Squad Atlanta","TV-14","Documentary, Crime, Reality",8.4,NA,"",2019,0,1,1,0
"Black Blood Brothers","TV-14","Action & Adventure, Anime, Animation, Comedy, Fantasy, Horror, Mystery, Thriller, Drama",7.1,NA,"Based on Books, Friendship, Police, Vampire, Magic, Supernatural, Futuristic",2006,0,1,0,0
"Life and Death Row",NA,"",8.3,NA,"",2014,0,1,0,0
"The Romeo Section","TV-14","",6.9,NA,"",2015,0,1,0,0
"Little Mosque on the Prairie","TV-PG","",5.6,NA,"",2007,0,1,0,0
"The Hotwives of Orlando","TV-14","",7.4,85,"",2014,0,1,0,0
"The Wallflower","TV-14","Animation, Anime, Comedy, Drama",7.4,NA,"Coming of Age, Parody, Medieval, Adaptation",2006,0,1,0,0
"Flip or Flop","TV-G","Family, Home & Garden, Reality, Documentary",6.1,NA,"Free Services, Hulu, HGTV, fuboTV",2013,0,1,0,0
"Monster Rancher","TV-PG","Animation, Action & Adventure, Comedy, Drama, Fantasy, Thriller, Mystery",7.1,NA,"",1999,0,1,1,0
"Treehouse Masters","TV-PG","Reality, Comedy, Documentary",7.3,NA,"",2013,0,1,0,0
"Undefeated Bahamut Chronicle",NA,"Animation, Comedy, Fantasy, Action & Adventure, Science-Fiction, Romance",6.5,NA,"",2016,0,1,0,0
"恋と選挙とチョコレート","TV-MA","Animation, Comedy, Drama, Romance",7.2,NA,"",2012,0,1,0,0
"Holiday Baking Championship","TV-G","Family, Reality, Food",7.5,NA,"Free Services, Hulu, Food Network, fuboTV",2014,0,1,0,0
"Wild Things with Dominic Monaghan","TV-14","",8.4,NA,"",2013,0,1,0,0
"I Am Cait","TV-14","Documentary, LGBTQ, Reality",3.5,86,"",2015,0,1,0,0
"I Spy",NA,"Action & Adventure, Travel, Comedy, Crime",7.1,NA,"",1965,0,1,0,0
"The Happy Days of Garry Marshall",NA,"",7.7,NA,"",2020,0,1,0,0
"Our Cartoon President","TV-MA","Comedy, Animation, Action & Adventure",5.1,NA,"",2018,0,1,0,0
"Uta no Prince-sama",NA,"",6.5,NA,"",2011,0,1,0,0
"NASA's Unexplained Files","TV-G","",6.6,NA,"",2012,0,1,0,0
"The Aliens",NA,"Comedy, Drama, Fantasy, Science-Fiction",6,NA,"Dystopia, Alien, Drug, Psychology",2016,0,1,0,0
"頭文字D First Stage","TV-PG","Action & Adventure, Animation, Sport, Comedy",8.4,NA,"",1998,0,1,0,0
"Cockroaches",NA,"",6.2,NA,"",2015,0,1,0,0
"Flirty Dancing","TV-PG","",6.6,100,"Free Services, Hulu, FOX, fuboTV",2019,0,1,0,0
"Who The (Bleep) Did I Marry?","TV-PG","Documentary, Drama, Reality, Biography, Crime",6.6,NA,"",2010,0,1,0,0
"Long Island Medium","TV-PG","Reality, Documentary, Thriller, Mystery",4.8,NA,"",2011,0,1,0,0
"Witchblade","TV-MA","Action & Adventure, Animation, Fantasy, Drama, Horror, Science-Fiction, Comedy, Mystery",7.2,NA,"",2006,0,1,0,0
"Below the Surface",NA,"Drama, Thriller, Crime",7.2,NA,"",2017,0,1,0,0
"Who Wants to Be a Millionaire","TV-14","",6.1,NA,"",2020,0,1,0,0
"WITS Academy","TV-G","Comedy, Fantasy, Drama, Children, Family",5.7,NA,"",2015,0,1,0,0
"Caribbean Life","TV-G","",6.7,NA,"Free Services, Hulu, HGTV, fuboTV",2014,0,1,0,0
"Hidden Potential","TV-PG","Reality, Documentary, Home & Garden",6.9,NA,"Free Services, Hulu, HGTV, fuboTV",2018,0,1,0,0
"The Strange Calls","TV-MA","",7.4,NA,"",2012,0,1,0,0
"Threesome","TV-MA","",7.6,NA,"",2011,0,1,0,0
"My Strange Addiction","TV-14","Reality, Documentary, Biography",5.7,NA,"",2010,0,1,0,0
"Dagashi Kashi","TV-14","Animation, Anime, Comedy, Romance",6.2,NA,"",2016,0,1,0,0
"Flea Market Flip","TV-G","",6.6,NA,"Free Services, Hulu, DIY, HGTV, fuboTV",2012,0,1,0,0
"Bong Appétit","TV-14","Documentary, Food, Reality",8,NA,"Free Services, Hulu, Viceland, fuboTV",2016,0,1,0,0
"Lucas Bros Moving Co","TV-MA","Animation, Comedy, Family",7,NA,"",2013,0,1,0,0
"Boy Band",NA,"",5.2,NA,"",2017,0,1,0,0
"Cults and Extreme Belief","TV-14","",7.6,NA,"",2018,0,1,0,0
"Total Wipeout",NA,"",6,NA,"",2009,0,1,1,0
"Breaking Amish",NA,"",5,NA,"",2012,0,1,0,0
"Card Captor Sakura: Clear Card",NA,"Animation, Action & Adventure, Comedy, Fantasy, Romance, Children",7.9,NA,"",2018,0,1,0,0
"Indebted","TV-14","",4.4,25,"",2020,0,1,0,0
"School of Rock","TV-G","Comedy, Family, Musical, Children",4.3,NA,"",2016,0,1,0,0
"The Gong Show","TV-PG","",7,NA,"",1976,0,1,0,0
"Snake City",NA,"",8.6,NA,"Free Services, Hulu, FOX, NatGeo",2014,0,1,0,0
"Broken Angel","TV-PG","Crime, Drama, Mystery",7.1,NA,"",2013,0,1,0,0
"Holly Hobbie","TV-PG","Drama, Family, Children",6.5,NA,"",2018,0,1,0,0
"Dancing with the Stars","TV-PG","Reality, Family, Game Show, Musical",4.4,NA,"",2005,0,1,0,0
"Mischief of the Gods","TV-14","Animation, Anime, Drama, Fantasy, Romance",7.2,NA,"",2014,0,1,0,0
"Casey Anthony: An American Murder Mystery","TV-14","Biography, Crime, History, Documentary, Drama",7.2,NA,"",2017,0,1,0,0
"The Other Guy","TV-MA","",6.8,NA,"",2017,0,1,0,0
"Negima!","TV-PG","Animation, Anime, Comedy, Fantasy, Drama, Romance, Action & Adventure, Science-Fiction",6.1,NA,"",2005,0,1,0,0
"Filthy Rich",NA,"",7.2,NA,"",2016,0,1,0,0
"I Am Jazz","TV-PG","",4.1,NA,"",2015,0,1,0,0
"Safe Harbor",NA,"Drama, Comedy, Family",7.3,83,"",1999,0,1,0,0
"Jodi Arias: An American Murder Mystery",NA,"",7,NA,"",2018,0,1,0,0
"The Ambition of Oda Nobuna","TV-14","Science-Fiction, Anime, Animation, Comedy, Action & Adventure, History, Romance",6.5,NA,"",2012,0,1,0,0
"Kino's Journey: The Beautiful World - The Animated Series","TV-MA","Animation, Anime, Drama, Action & Adventure, Fantasy, Science-Fiction",7.1,NA,"",2017,0,1,0,0
"Your Worst Nightmare","TV-14","Crime, Documentary, Thriller",7,NA,"",2014,0,1,0,0
"Match Game","TV-14","",6.1,NA,"",1973,0,1,1,0
"Food Paradise","TV-G","Travel, Documentary, Reality, Food",7.9,NA,"Free Services, Hulu, Travel Channel, Food Network, fuboTV",2007,0,1,0,0
"Ready, Steady, Wiggle!","TV-G","Children, Action & Adventure, Family, Fantasy",8.4,NA,"",2013,0,1,0,0
"StarTalk with Neil deGrasse Tyson",NA,"",7.8,NA,"Prime Video, Hulu, FOX, NatGeo",2015,0,1,1,0
"Caillou","TV-G","Animation, Family, Drama, Children, Fantasy",4.1,NA,"",1998,0,1,1,0
"The Tesla Files",NA,"Documentary, Mystery, History",7.3,NA,"",2018,0,1,1,0
"The Real Housewives of Potomac","TV-14","",4.3,NA,"",2016,0,1,0,0
"The Killer Speaks","TV-14","",7.4,NA,"",2013,0,1,0,0
"Aoharu x Machinegun","TV-14","Comedy, Anime, Action & Adventure, Drama, Animation",6.6,NA,"",2015,0,1,0,0
"Cupcake Wars","TV-G","Reality, Food, Game Show",5.8,NA,"",2010,0,1,0,0
"Psychic Detective Yakumo","TV-14","Action & Adventure, Animation, Mystery, Thriller, Drama, Crime",6.7,NA,"",2010,0,1,0,0
"Bloque de Búsqueda",NA,"",7.8,NA,"",2016,0,1,0,0
"Make It Pop","TV-G","Children, Comedy, Drama, Musical",4.9,NA,"",2015,0,1,0,0
"Sunnyside",NA,"",4.9,38,"",2019,0,1,0,0
"Sanjay and Craig","TV-PG","Animation, Children, Action & Adventure, Comedy, Family",4.4,NA,"",2013,0,1,0,0
"Beautiful Bones: Sakurako’s Investigation","TV-MA","Animation, Anime, Crime, Drama, Mystery",6.9,NA,"",2015,0,1,0,0
"Miz & Mrs","TV-14","",6.3,NA,"",2018,0,1,0,0
"Brothers Conflict","TV-14","Animation, Anime, Romance, Comedy",6.1,NA,"",2013,0,1,0,0
"The $100,000 Pyramid","TV-14","",6.2,NA,"",2016,0,1,0,0
"Nabari no Ou","TV-14","Action & Adventure, Anime, Animation, Comedy, Fantasy, Drama, Science-Fiction",6.5,NA,"",2008,0,1,0,0
"Brave 10","TV-PG","Animation, Comedy, Action & Adventure",6.6,NA,"",2012,0,1,0,0
"A Little Late with Lilly Singh","TV-14","",1.7,90,"",2019,0,1,0,0
"Destiny",NA,"",9.6,NA,"",2014,0,1,0,0
"Blade and Soul","TV-MA","Action & Adventure, Anime, Animation, Fantasy, Science-Fiction",6,NA,"",2014,0,1,0,0
"Man Up!","TV-PG","",6.6,21,"",2011,0,1,0,0
"Cash Cab",NA,"",7.2,NA,"",2008,0,1,0,0
"Soul Eater Not!","TV-14","Action & Adventure, Anime, Animation, Comedy, Fantasy",5.7,NA,"",2014,0,1,0,0
"Demon Lord, Retry!","TV-14","Animation, Anime, Action & Adventure, Fantasy, Comedy, Science-Fiction",6.7,NA,"",2019,0,1,0,0
"Beat Shazam","TV-14","",6,NA,"Free Services, Hulu, FOX, fuboTV",2017,0,1,0,0
"Juana la virgen",NA,"",5.9,NA,"",2002,0,1,0,0
"Sex Sent Me to the ER","TV-MA","Documentary, Reality, Comedy, Drama",5.4,NA,"Prime Video, Hulu, TLC, fuboTV",2013,0,1,1,0
"Napoleon Dynamite","TV-PG","",6.4,25,"",2012,0,1,0,0
"Kaleido Star","TV-14","Animation, Comedy, Drama, Fantasy, Romance",7.7,NA,"",2003,0,1,0,0
"Too Cute","TV-PG","",8.5,NA,"Free Services, Hulu, Science, fuboTV",2011,0,1,0,0
"The Hunt with John Walsh","TV-14","Crime, Documentary, Reality",7.5,NA,"",2014,0,1,0,0
".hack","TV-PG","Action & Adventure, Anime, Animation, Drama, Fantasy, Mystery, Science-Fiction, Thriller",6.9,18,"",2002,0,1,0,0
"Sister Wives","TV-14","",4.3,NA,"",2010,0,1,0,0
"Siblings",NA,"",7.1,NA,"",2014,0,1,0,0
"Children of the Snow","TV-14","Crime, Reality, Documentary",7.3,NA,"",2019,0,1,0,0
"Outbreak Company","TV-14","Animation, Anime, Fantasy, Comedy, Drama, Romance",7,NA,"",2013,0,1,0,0
"The History of Comedy","TV-MA","Documentary, Comedy, History",7.8,NA,"",2017,0,1,0,0
"The Munsters Today",NA,"",5.3,NA,"",1988,0,1,0,0
"Marrying Millions",NA,"",5.6,NA,"",2019,0,1,0,0
"Jeopardy! The Greatest of All Time","TV-PG","",8.6,NA,"",2020,0,1,0,0
"Love Connection",NA,"Game Show, Reality, Romance",NA,NA,"",2017,0,1,0,0
"The Awesomes","TV-14","Animation, Comedy, Action & Adventure",7.3,NA,"",2013,0,1,0,0
"Cake","TV-MA","",6,NA,"",2019,0,1,0,0
"Gugure! Kokkuri-san",NA,"Animation, Anime, Comedy, Romance, Fantasy",7.4,NA,"",2014,0,1,0,0
"The Chew","TV-PG","",5.2,NA,"",2011,0,1,0,0
"The Tower of Druaga: The Aegis of Uruk","TV-PG","Animation, Anime, Fantasy, Action & Adventure, Comedy, Romance, Science-Fiction",6.8,NA,"",2008,0,1,0,0
"Basketball Wives LA","TV-PG","",4.2,NA,"Free Services, Hulu, VH1, BET+",2011,0,1,0,0
"I Love New York","TV-14","",4.5,NA,"",2007,0,1,0,0
"Bridezillas","TV-14","Reality, Romance, Comedy, Action & Adventure",3.9,NA,"",2004,0,1,0,0
"Mythbusters Jr.","TV-PG","",6.8,NA,"Free Services, Hulu, Science, fuboTV",2019,0,1,0,0
"The Millionaire Matchmaker","TV-PG","",4.6,NA,"",2008,0,1,0,0
"Britain's Best Home Cook",NA,"",7.8,NA,"",2018,0,1,0,0
"El Mariachi",NA,"",8,NA,"",2014,0,1,0,0
"Blade Dance of Elementalers","TV-14","Action & Adventure, Animation, Fantasy, Comedy, Romance",6.7,NA,"",2014,0,1,0,0
"Wasted",NA,"",7.4,NA,"",2016,0,1,0,0
"Wicked Tuna: Outer Banks","TV-14","",6.5,NA,"",2014,0,1,0,0
"Aquarion","TV-MA","Animation, Anime, Science-Fiction, Action & Adventure, Comedy, Drama, Fantasy",6.6,NA,"",2005,0,1,0,0
"The Riveras","TV-PG","",6.9,NA,"",2016,0,1,0,0
"House Hunters Renovation","TV-G","Reality, Travel, Home & Garden",6.4,NA,"Hulu, DIY, HGTV, fuboTV",2012,0,1,0,0
"Cake Wars","TV-G","",6.1,NA,"",2015,0,1,0,0
"WWE Main Event","TV-PG","Sport, Action & Adventure, Game Show, Drama",6.5,NA,"",2012,0,1,0,0
"Part of Me","TV-14","Drama, Fantasy, Romance, Crime, Mystery",8.6,NA,"Mexico, America",2014,0,1,0,0
"Open Door",NA,"",6,NA,"",2019,0,1,0,0
"The Show Must Go On: The Queen + Adam Lambert Story",NA,"",8.5,NA,"",2019,0,1,0,0
"Stars Align","TV-14","Animation, Anime, Drama, Sport, Family, Romance",7,NA,"",2019,0,1,0,0
"Samurai Harem","TV-MA","Animation, Anime, Comedy, Drama, Romance, Sport",5.9,NA,"",2009,0,1,0,0
"Stacked","TV-PG","",6,NA,"",2005,0,1,0,0
"Chopped Junior",NA,"Family, Food, Reality",6.5,NA,"Free Services, Hulu, Food Network, fuboTV",2015,0,1,0,0
"Property Brothers: Buying and Selling","TV-G","",7.1,NA,"",2012,0,1,0,0
"Living With Fran",NA,"",5.8,NA,"",2005,0,1,0,0
"NY-LON","TV-MA","Drama, Comedy, Romance",7.5,NA,"",2004,0,1,0,0
"Special A","TV-14","Animation, Comedy, Drama, Romance",7.3,NA,"",2008,0,1,1,0
"Toopy and Binoo","TV-G","Children, Animation, Comedy, Family",6.8,NA,"",2005,0,1,0,0
"Beachfront Bargain Hunt","TV-G","Family, Home & Garden, Reality, Travel, Documentary",6.7,NA,"Free Services, Hulu, HGTV, fuboTV",2013,0,1,0,0
