"title","age","genres","imdb","rotten_tomatoes","year","keywords"
"Step by Step"," All (TV-G)","Comedy, Family, Romance","6.5",NA,"1991",""
"Find Me in Paris","All (TV-G)","Comedy, Drama, Family, Fantasy, Science-Fiction, Action & Adventure, Children, Romance","7.3",NA,"2018","Germany, France"
"The White Shadow",NA,"","8",NA,"1978",""
"Bad Banks","7 (TV-PG)","Crime, Drama, Thriller","8",NA,"2018","Germany, Luxembourg"
"Good Bones",NA,"","7.3",NA,"2016","Free Services, Hulu, HGTV, fuboTV"
"Hard Sun"," 18 (TV-MA)","Crime, Drama, Science-Fiction","6.6",48,NA,""
"The Real Housewives of Beverly Hills"," 14 (TV-14)","","4.8",NA,"2010",""
"Bloom","18 (TV-MA)","Drama, Mystery, Science-Fiction, Fantasy","6.6",NA,"2019",""
"Utopia Falls","7 (TV-PG)","Drama, Science-Fiction, Fantasy, Musical","5",43,"2020",""
"Silk Stalkings","14 (TV-14)","Crime, Drama, Mystery, Thriller, Action & Adventure","6.5",NA,"1991",""
"The Qwaser of Stigmata","18 (TV-MA)","Action & Adventure, Anime, Animation, Fantasy, Comedy, Drama, Science-Fiction","5.5",NA,"2010",""
"Damien"," 14 (TV-14)","Drama, Fantasy, Horror","6.9",11,"2016",""
"Baywatch","7 (TV-PG)","Action & Adventure, Drama, Crime, Romance","5.3",NA,"1989",""
"Hillary","18 (TV-MA)","","6",77,"2020",""
"Billy on the Street","14 (TV-14)","Comedy, Stand-up & Talk, Game Show","7.7",NA,"2011",""
"The Asterisk War","14 (TV-14)","Animation, Anime, Action & Adventure, Comedy, Fantasy, Romance, Science-Fiction","6.8",NA,"2015",""
"The Bastard Executioner"," 18 (TV-MA)","","6.2",47,"2015","War, Medieval, Royalty, Political"
"Graves","18 (TV-MA)","","6.5",50,"2016",""
"Perfect Harmony","7 (TV-PG)","","6.6",62,"2019",""
"Fear Factor","7 (TV-PG)","Reality, Game Show, Thriller","5.6",NA,"2001",""
"Some Girls","14 (TV-14)","","7.6",NA,"2012",""
"Worst Cooks in America"," All (TV-G)","Reality, Game Show, Comedy, Food","6.4",NA,"2010","Free Services, Hulu, Food Network, fuboTV"
"Perfect Strangers"," 7 (TV-PG)","Comedy, Family, Action & Adventure, Crime","7.2",NA,"1986",""
"This Way Up",NA,"","7.8",93,"2019",""
"Just Between Lovers",NA,"","8",NA,"2017",""
"Champions","7 (TV-PG)","","6",63,"2017",""
"The Real Housewives of Atlanta"," 14 (TV-14)","","4.3",NA,"2008",""
"The Biggest Loser","7 (TV-PG)","","5.4",NA,"2004","Hulu, NBC, USA, fuboTV"
"The Fruit of Grisaia","18 (TV-MA)","Animation, Anime, Drama, Romance, Thriller, Mystery","7.1",NA,"2014",""
"Mister Ed","All (TV-G)","Comedy, Family, Fantasy","7",NA,"1961",""
"House Hunters International"," All (TV-G)","Reality, Travel, Home & Garden","7",NA,"2006","Free Services, Hulu, HGTV, fuboTV"
"Kingdom",NA,"","7.9",NA,"2007",""
"Bring It!","7 (TV-PG)","","6.6",NA,"2014",""
"Itazura na Kiss",NA,"Animation, Comedy, Drama, Romance","7.5",NA,"2008",""
"Living Single","7 (TV-PG)","","7.3",NA,"1993",""
"The Odd Couple"," 7 (TV-PG)","","6.4",NA,"2015",""
"Hunter","7 (TV-PG)","Action & Adventure, Drama, Crime, Mystery, Thriller","6.8",NA,"1984",""
"Council of Dads","7 (TV-PG)","","6.2",50,"2019",""
"Taggart","18 (TV-MA)","Action & Adventure, Crime, Drama, Mystery","7.2",NA,"1983",""
"Grimgar of Fantasy and Ash","14 (TV-14)","Animation, Anime, Action & Adventure, Drama, Fantasy, Science-Fiction","7.5",NA,"2016","Based on Books, Military, War, Disaster, Magic, Survival, Fighting"
"Vanderpump Rules","14 (TV-14)","","5.4",NA,"2013",""
"grown-ish","14 (TV-14)","","6.4",NA,"2018",""
"Spice and Wolf","14 (TV-14)","Animation, Drama, Fantasy, Action & Adventure, Romance, Science-Fiction","8",NA,"2008",""
"All Saints","14 (TV-14)","","7",NA,"1998",""
"Chivalry of a Failed Knight"," 18 (TV-MA)","Animation, Science-Fiction, Action & Adventure, Fantasy, Drama, Romance","7.4",NA,"2015",""
"Dice","18 (TV-MA)","","7.4",33,"2016",""
"Bering Sea Gold","All (TV-G)","Action & Adventure, Reality, Documentary","6.6",NA,"2012",""
"My Love Story!!","7 (TV-PG)","Animation, Anime, Comedy, Romance","7.8",NA,"2015",""
"Classroom of the Elite"," 14 (TV-14)","Animation, Comedy, Romance, Drama","7.4",NA,"2017",""
"Alias Smith and Jones","7 (TV-PG)","","7.6",NA,"1971",""
"My 600-lb Life","14 (TV-14)","","6.6",NA,"600",""
"Cardfight!! Vanguard"," 14 (TV-14)","Animation, Game Show, Action & Adventure, Fantasy, Science-Fiction, Comedy","7.2",NA,"2011","Free Services, Prime Video, Hulu, Crunchyroll"
"Barbarians Rising","18 (TV-MA)","Action & Adventure, Documentary, Drama, History","7.8",NA,"2016",""
"Restaurant: Impossible","All (TV-G)","","6.8",NA,"2011","Free Services, Hulu, Food Network, fuboTV"
"Kono Oto Tomare!: Sounds of Life","7 (TV-PG)","Animation, Anime, Drama, Comedy, Musical, Romance","7.4",NA,"2019",""
"Primeval: New World","14 (TV-14)","Action & Adventure, Drama, Science-Fiction, Fantasy","6.5",NA,"2012","Canada, United Kingdom"
"Dietland","14 (TV-14)","","6.4",81,"2018",""
"Sword Art Online Alternative: Gun Gale Online","14 (TV-14)","Animation, Anime, Action & Adventure, Fantasy, Science-Fiction","6.8",NA,"2018","Based on Books, Military, War, Video Games"
"Slayers","7 (TV-PG)","Action & Adventure, Anime, Animation, Comedy, Fantasy, Drama, Science-Fiction","7.5",NA,"1995",""
"Baghdad Central",NA,"Crime, Drama, Thriller, Action & Adventure","7.1",88,"2020",""
"Hellevator","18 (TV-MA)","Game Show, Horror, Comedy","6",NA,"2015",""
"The Slap","14 (TV-14)","","7.6",67,"2015",""
"The Last Alaskans","18 (TV-MA)","","8.5",NA,"2015",""
"D.Gray-man Hallow"," 14 (TV-14)","Action & Adventure, Animation, Fantasy, Drama, Science-Fiction","7.7",NA,"2016",""
"Deadbeat"," 14 (TV-14)","","7.5",NA,"2014",""
"Devil May Cry","18 (TV-MA)","Action & Adventure, Anime, Animation, Fantasy, Horror, Science-Fiction","7.1",NA,"2007",""
"Alaska: The Last Frontier","14 (TV-14)","Documentary, Action & Adventure, Reality","7.7",NA,"2011",""
"7th Heaven"," 7 (TV-PG)","Drama, Comedy, Family, Romance","5.2",NA,"7",""
"Clannad After Story","7 (TV-PG)","Animation, Comedy, Drama","8.6",NA,"2008",""
"Cutthroat Kitchen","All (TV-G)","Food, Reality, Game Show","7.2",NA,"2013",""
"Sex&Drugs&Rock&Roll"," 14 (TV-14)","","7.1",NA,"2015",""
"The Electric Company"," All (TV-G)","Children, Family, Comedy","8.1",NA,"1971","HBO MAX, HBO, Prime Video, Hulu"
"Ironside"," 7 (TV-PG)","Crime, Drama, Mystery","6.9",NA,"1967",""
"The Game"," 14 (TV-14)","Comedy, Drama, Romance, Sport","6.7",NA,"2006",""
"Accel World"," 14 (TV-14)","Action & Adventure, Anime, Animation, Reality, Science-Fiction, Romance, Drama, Fantasy","7.2",NA,"2012","Based on Books, Friendship, Technology, Fighting, Video Games, Futuristic"
"Dog with a Blog"," All (TV-G)","Children, Comedy, Drama, Family, Fantasy","4.8",NA,"2012","Dog, Animal, Disney, Teen"
"Disappeared","14 (TV-14)","Documentary, Crime, Mystery, Drama","8",NA,"2010",""
"Date a Live"," 18 (TV-MA)","Animation, Action & Adventure, Comedy, Fantasy, Romance, Science-Fiction, Thriller, Mystery","7",NA,"2013","Free Services, Hulu, Crunchyroll, Funimation"
"Hollywood Game Night"," 7 (TV-PG)","","7.3",NA,"2013","Free Services, Hulu, NBC, fuboTV"
"Devils Line","18 (TV-MA)","Animation, Anime, Action & Adventure, Crime, Fantasy, Horror, Mystery, Romance, Science-Fiction, Drama","6.8",NA,"2018",""
"Celebrity Family Feud","7 (TV-PG)","","6.1",NA,"2008",""
"Son of Zorn","14 (TV-14)","Animation, Comedy, Fantasy","6.7",58,"2016",""
"Love Island",NA,"","5",NA,"2015","Free Services, Hulu, CBS All Access, fuboTV"
"Daniel Deronda",NA,"Drama, History, Romance","7.2",NA,"2002",""
"Golden Time"," 14 (TV-14)","Drama, Comedy, Animation, Romance","7.5",NA,"2013",""
"Unusual Suspects"," 14 (TV-14)","Documentary, Drama, Crime","7.6",NA,"2010",""
"Say Yes to the Dress"," 7 (TV-PG)","","5.6",NA,"2007","Prime Video, Hulu, TLC, fuboTV"
"Hangar 1: The UFO Files","7 (TV-PG)","Documentary, Mystery, Science-Fiction","7.4",NA,"1",""
"Axe Cop","18 (TV-MA)","Animation, Action & Adventure, Comedy, Science-Fiction","7.4",70,"2013",""
"Father Knows Best","All (TV-G)","","7.4",NA,"1954",""
"The Four: Battle for Stardom",NA,"","4.1",17,"2018",""
"Pramface"," 14 (TV-14)","","7.6",NA,"2012",""
"OutDaughtered","7 (TV-PG)","","7",NA,"2016","Free Services, Hulu, TLC, fuboTV"
"Designing Women","7 (TV-PG)","","7",NA,"1986",""
"Beck",NA,"Drama, Crime, Mystery, Thriller","7.4",NA,"1997",""
"Trust Me",NA,"","7",79,"2017",""
"Kämpfer","18 (TV-MA)","Animation, Anime, Action & Adventure, Comedy, Fantasy, Science-Fiction","6.2",NA,"2009",""
"Mysteries at the Museum","7 (TV-PG)","Reality, Documentary, Action & Adventure, Biography, Crime, History, Mystery","8.1",NA,"2010","Free Services, Hulu, Travel Channel, fuboTV"
"Guy's Grocery Games","All (TV-G)","Food, Game Show, Reality","6.5",NA,"2013","Free Services, Hulu, Food Network, fuboTV"
"Love It or List It","All (TV-G)","Reality, Home & Garden, Documentary","6.3",NA,"2008","Free Services, Hulu, HGTV, fuboTV"
"Cake Boss"," 7 (TV-PG)","","6.6",NA,"2009","Hulu, TLC, Food Network, fuboTV"
"Dante's Cove","18 (TV-MA)","Drama, LGBTQ, Horror, Mystery, Thriller","6",NA,"2005",""
"90 Day Fiancé: Happily Ever After?","14 (TV-14)","","6.2",NA,"90",""
"Voyage to the Bottom of the Sea"," 7 (TV-PG)","Action & Adventure, Drama, Science-Fiction, Fantasy","7.2",NA,"1964",""
"Maken-Ki! Battling Venus"," 18 (TV-MA)","Action & Adventure, Animation, Comedy, Romance, Fantasy","6.2",NA,"2011",""
"Outmatched","7 (TV-PG)","","5.6",22,"2020","Free Services, Hulu, FOX, fuboTV"
"Doogie Howser, M.D.","7 (TV-PG)","Comedy, Drama, Family","6.5",NA,"1989",""
"Love Island Australia"," 18 (TV-MA)","","5.4",NA,"2018",""
"The Next Step"," All (TV-G)","Drama, Family, Romance","6",NA,"2013",""
"Acero, Woman of Steel","14 (TV-14)","Crime, Drama, Romance","7.2",NA,"2014",""
"The Bachelorette","14 (TV-14)","Reality, Romance, Game Show, Drama","3.4",62,"2003",""
"Reef Break","7 (TV-PG)","Drama, Crime, Thriller","5.9",33,"2019",""
"The Moodys","14 (TV-14)","","6.6",62,"2019","Free Services, Hulu, FOX, fuboTV"
"Oreimo","14 (TV-14)","Animation, Anime, Comedy, Drama, Romance","6.5",NA,"2010",""
"Total Divas","14 (TV-14)","Reality, Documentary, Biography, Drama","6.5",NA,"2013","Twins, Wrestling, Sports, Based On True Story"
"The Lowe Files"," 7 (TV-PG)","","6.7",60,"2017",""
"Wise Man’s Grandchild","14 (TV-14)","Animation, Anime, Action & Adventure, Comedy, Fantasy, Science-Fiction, Romance","6.7",NA,"2019","Free Services, Hulu, Crunchyroll, Funimation, High School, Based on Books, Military, War, Magic, Fighting"
"There's... Johnny!",NA,"","7.2",83,"2017",""
"Aesthetica of a Rogue Hero"," 18 (TV-MA)","Action & Adventure, Anime, Animation, Fantasy, Comedy, Science-Fiction","7.2",NA,"2012",""
"BuzzFeed Unsolved - True Crime",NA,"Crime, Documentary, Mystery","8.9",NA,"2016",""
"Criminal Minds: Suspect Behavior"," 14 (TV-14)","Crime, Drama, Mystery","6.3",42,"2011",""
"Blood Lad","14 (TV-14)","Animation, Anime, Comedy, Fantasy, Action & Adventure, Drama, Horror, Science-Fiction","7.1",NA,"2013","Dark Comedy, Vampire, Magic, Supernatural, Ghost, Adaptation"
"Saved by the Bell: The College Years","7 (TV-PG)","","6.3",9,"1993",""
"Buzzfeed Unsolved: Supernatural",NA,"Action & Adventure, Comedy, Horror, Documentary, Mystery","8.7",NA,"2016",""
"School Rumble"," 7 (TV-PG)","Animation, Anime, Comedy, Romance","7.8",NA,"2007",""
"Hunter Street"," All (TV-G)","Action & Adventure, Comedy, Family, Mystery","6.9",NA,"2017",""
"Freakish","14 (TV-14)","Horror, Science-Fiction, Fantasy, Drama","6.4",NA,"2016",""
"Hetalia","18 (TV-MA)","Animation, Comedy, History","7.4",NA,"2009",""
"Doc McStuffins"," All (TV-G)","Animation, Children, Family, Fantasy, Musical","6.7",NA,"2012",""
"xxxHOLiC","14 (TV-14)","Animation, Anime, Comedy, Drama, Fantasy, Horror, Mystery, Romance, Thriller, Science-Fiction","7.7",NA,"2006",""
"Toilet-Bound Hanako-kun","14 (TV-14)","Animation, Anime, Comedy, Fantasy, Mystery, Horror, Romance","7.5",NA,"2020",""
"Paradox","14 (TV-14)","Drama, Science-Fiction, Crime, Thriller, Horror, Mystery, Fantasy","7.1",NA,"2009",""
"Maison Close"," 18 (TV-MA)","","6.7",NA,"2010",""
"Ultraviolet","18 (TV-MA)","","7",NA,"2017",""
"Beyond the Boundary","14 (TV-14)","Action & Adventure, Anime, Animation, Fantasy, Science-Fiction, Comedy, Drama, Thriller","7.3",NA,"2013",""
"Plunderer","14 (TV-14)","Animation, Anime, Action & Adventure, Fantasy, Romance, Science-Fiction","6.2",NA,"2020",""
"Party of Five",NA,"Drama, Family, Romance","5.3",NA,"2020",""
"Castaways",NA,"","6.2",NA,NA,""
"Total Bellas","14 (TV-14)","","5.8",NA,"2016",""
"Good Doctor",NA,"Drama, Family, Romance","8.1",NA,"2013",""
"Kingdom","14 (TV-14)","Action & Adventure, Anime, Animation, Drama, History","8",NA,"2012",""
"The Passing Bells",NA,"","6.9",NA,"2014",""
"Marido en Alquiler",NA,"","8.4",NA,NA,""
"Amagami SS"," 7 (TV-PG)","Animation, Anime, Drama, Romance","6.8",NA,"2010",""
"East Los High","14 (TV-14)","","7",NA,"2013",""
"The Smile Has Left Your Eyes","All (TV-G)","Drama, Mystery, Romance, Thriller, Crime","7.4",NA,"2018",""
"Curious George","All (TV-G)","Animation, Action & Adventure, Comedy, Family, Children","7.1",NA,"2006",""
"The Real Housewives of New Jersey"," 14 (TV-14)","","4",NA,"2009",""
"Project Runway All Stars","7 (TV-PG)","","7",NA,"2012",""
"Agent X","14 (TV-14)","","6.2",28,"2015",""
"Marlon"," 7 (TV-PG)","","7",NA,"2017",""
"The Dick Van Dyke Show","All (TV-G)","","6.8",NA,"1961",""
"The Only Way Is Essex","18 (TV-MA)","","3.1",NA,"2010",""
"Good Morning, Miss Bliss","All (TV-G)","Children, Comedy, Family","6.8",NA,"1988","High School, Teacher, Disney, Teen"
"Dragnet"," 7 (TV-PG)","Action & Adventure, Crime, Drama, Mystery","7.5",NA,"1967",""
"Attack on Titan: Junior High"," 14 (TV-14)","Animation, Anime, Comedy, Action & Adventure","6.5",NA,"2015",""
"The Real Housewives of New York City","14 (TV-14)","","4.3",NA,"2008",""
"Pure","14 (TV-14)","","7",NA,"2017",""
"Battleground",NA,"Comedy, Documentary, Drama","7.9",73,"2012",""
"An American Murder Mystery: The Staircase","14 (TV-14)","","7.5",NA,"2018",""
"Yu-Gi-Oh! Arc-V","7 (TV-PG)","Action & Adventure, Animation, Game Show, Science-Fiction, Fantasy","6.2",NA,"2014","Free Services, Netflix, Prime Video, Hulu"
"BOFURI: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.","14 (TV-14)","Animation, Anime, Action & Adventure, Comedy, Fantasy, Science-Fiction","7.3",NA,"2020","Based on Books, Technology, Survival, Video Games"
"Iron Chef America","All (TV-G)","Food, Game Show, Reality","7.1",NA,"2005","Free Services, Hulu, Food Network, fuboTV"
"WWE NXT"," 7 (TV-PG)","Sport, Action & Adventure, Game Show, Drama","7.7",NA,"2010",""
"Say ""I love you."""," 14 (TV-14)","Animation, Anime, Drama, Romance","7.4",NA,"2012",""
"A Crime to Remember","14 (TV-14)","Crime, Documentary, Drama","8.3",NA,"2013",""
"The Great Food Truck Race","All (TV-G)","Reality, Travel, Food, Game Show","6.6",NA,"2010","Free Services, Hulu, Food Network, fuboTV"
"The Hills","7 (TV-PG)","","3.5",52,"2006","Free Services, Prime Video, Hulu, MTV"
"Elena's Ghost","14 (TV-14)","Action & Adventure, Crime, Drama, Romance","7.6",NA,"2010",""
"Weird Science",NA,"Comedy, Fantasy, Science-Fiction","6.8",NA,"1994",""
"To Tell the Truth",NA,"Comedy, Game Show, Mystery","6.4",NA,"2016",""
"El Clon",NA,"","6.8",NA,"2000",""
"Three Sheets","18 (TV-MA)","","8.2",NA,"2006",""
"Good Eats: Reloaded","All (TV-G)","Documentary, Comedy, Reality, Food","8.8",NA,"2018",""
"Himouto! Umaru-chan"," 14 (TV-14)","Animation, Anime, Comedy","7",NA,"2015",""
"Heathcliff","7 (TV-PG)","Animation, Children, Family, Action & Adventure, Comedy","6.6",NA,"1984","Free Services, Hulu, Starz, CBS All Access, America, Canada, France, Japan"
"Mayo Chiki!","18 (TV-MA)","Animation, Anime, Comedy, Drama, Romance","7.1",NA,"2011",""
"ID: INVADED","18 (TV-MA)","Animation, Anime, Crime, Drama, Mystery, Science-Fiction, Action & Adventure, Fantasy, Thriller","7.7",NA,"2020",""
"I Love You, America"," 18 (TV-MA)","","5.7",93,"2017",""
"Black Bullet","18 (TV-MA)","Action & Adventure, Anime, Animation, Science-Fiction, Mystery, Thriller, Fantasy","7",NA,"2014",""
"Criminal Justice",NA,"Crime, Drama, Mystery","7.8",NA,"2008",""
"Unikitty"," 7 (TV-PG)","Family, Animation, Comedy, Action & Adventure, Fantasy","5.7",NA,"2017","Free Services, Hulu, Cartoon Network, fuboTV"
"Arifureta: From Commonplace to World's Strongest","14 (TV-14)","Animation, Anime, Action & Adventure, Fantasy, Romance, Science-Fiction","6.6",NA,"2019",""
"The Food That Built America",NA,"Documentary, History, Food","8.5",NA,"2019",""
"Jersey Shore"," 14 (TV-14)","Reality, Comedy, Drama","3.6",NA,"2009",""
"Nazi Megastructures","All (TV-G)","Documentary, Drama, History","8",NA,"2013",""
"Butterfly",NA,"","6.2",93,"2018",""
"Tanked","7 (TV-PG)","","6.6",NA,"2011",""
"Keeping Up with the Kardashians","14 (TV-14)","Drama, Reality, Family","2.8",NA,"2007",""
"Dr. Pimple Popper","14 (TV-14)","","6.6",NA,"2018",""
"McHale's Navy","All (TV-G)","","7.4",NA,"1962",""
"Archangel",NA,"Action & Adventure, Drama, Crime, Mystery, Thriller","6.5",NA,"2005",""
"The Driver","14 (TV-14)","","7",NA,"2014",""
"Melrose Place","14 (TV-14)","","6",60,"2009",""
"Angels of Death","18 (TV-MA)","Horror, Anime, Animation, Action & Adventure, Thriller, Mystery, Drama","6.4",NA,"2018",""
"Great British Menu",NA,"","7.3",NA,"2006",""
"Seed","18 (TV-MA)","","5.6",67,"2013",""
"Zomboat!",NA,"","6.9",NA,"2019",""
"Swamp People","7 (TV-PG)","Documentary, Reality, Action & Adventure, History","6.3",NA,"2010","Prime Video, Hulu, fuboTV"
"Bachelor in Paradise","14 (TV-14)","","5.2",NA,"2014",""
"Air Gear","18 (TV-MA)","Action & Adventure, Anime, Animation, Sport, Comedy","7.2",NA,"2006",""
"Jumanji","7 (TV-PG)","Action & Adventure, Animation, Children, Family, Fantasy","6.4",NA,"1996",""
"Quick Draw",NA,"","7.6",NA,"2013",""
"I Am Frankie"," All (TV-G)","Drama, Comedy, Science-Fiction, Fantasy, Family","6.1",NA,"2017",""
"Little Women: LA","14 (TV-14)","","5.4",NA,"2014","Free Services, Prime Video, Hulu, Lifetime"
"Undercover Boss","7 (TV-PG)","","5.8",NA,"2010","Free Services, Hulu, CBS All Access, CNBC, fuboTV"
"Baka and Test: Summon the Beasts","7 (TV-PG)","Animation, Anime, Comedy, Fantasy, Romance, Science-Fiction","7.3",NA,"2010","High School, Based on Books, Magic, Supernatural, Parody"
"The New Woody Woodpecker Show","All (TV-G)","Animation, Comedy, Family, Children","6.5",NA,"1999",""
"The Comedians","18 (TV-MA)","","6.7",58,"2015",""
"Black Jesus","18 (TV-MA)","","6.9",NA,"2014","Free Services, Hulu, Adult Swim, fuboTV"
"Lincoln Heights","7 (TV-PG)","Drama, Action & Adventure, Family","7.7",NA,"2007",""
"Bless the Harts","14 (TV-14)","","4.9",82,"2019","Free Services, Hulu, FOX, fuboTV"
"Handy Manny","All (TV-G)","Animation, Children, Family, Comedy","5.6",NA,"2006",""
"Hikaru no Go","All (TV-G)","Animation, Fantasy, Sport, Science-Fiction","8.3",NA,"2001",""
"Bizarre Foods with Andrew Zimmern"," 7 (TV-PG)","Travel, Food, Documentary","7.7",NA,"2006","Free Services, Hulu, Travel Channel, fuboTV"
"Blast of Tempest","14 (TV-14)","Animation, Anime, Action & Adventure, Fantasy, Mystery, Science-Fiction, Drama","7.6",NA,"2012",""
"The Secret of Crickley Hall",NA,"Drama, Horror, Mystery","6.9",NA,"2012",""
"Kiri",NA,"Crime, Drama, Mystery","6.6",89,"2018",""
"Vanished","18 (TV-MA)","Drama, Mystery, Thriller","7",67,"2006",""
"Bedlam",NA,"Drama, Horror, Mystery","6.6",44,"2011",""
"The Lucy Show","7 (TV-PG)","","7.2",NA,"1962",""
"Little Big Shots","All (TV-G)","Comedy, Family, Reality","7.2",NA,"2016","Free Services, HBO MAX, Hulu, NBC, fuboTV"
"The Little Couple"," All (TV-G)","","6.8",NA,"2009",""
"Astro Boy"," All (TV-G)","Animation, Anime, Action & Adventure, Comedy, Family, Fantasy, Science-Fiction","7.3",NA,"1980","Robot, Supernatural, Superhero, Science, Cartoon"
"Upper Middle Bogan","14 (TV-14)","","7.9",NA,"2013",""
"Astra Lost in Space","14 (TV-14)","Animation, Anime, Action & Adventure, Science-Fiction, Fantasy","8",NA,"2019","Friendship, Dystopia, Space, Disaster, Survival, Adaptation"
"Wolf Girl & Black Prince"," 14 (TV-14)","Animation, Anime, Comedy, Romance","7.1",NA,"2014",""
"Murder in the Heartland","14 (TV-14)","","7.8",NA,"2017",""
"Top Gear","7 (TV-PG)","Comedy, Documentary, Reality","5.3",NA,"2010","United Kingdom, America"
"Abandoned","14 (TV-14)","Documentary, Reality, Travel","8.4",NA,"2016",""
"Beat Bobby Flay"," All (TV-G)","","6.3",NA,"2014","Free Services, Hulu, Food Network, fuboTV"
"Blood-C","18 (TV-MA)","Action & Adventure, Anime, Animation, Fantasy, Horror, Mystery, Thriller","6.3",NA,"2011",""
"Unexpected"," 14 (TV-14)","","5.9",NA,"2017",""
"The Bachelor Presents: Listen to Your Heart","14 (TV-14)","Drama, Reality, Romance, Game Show","5",NA,"2020",""
"Absolute Duo"," 18 (TV-MA)","Action & Adventure, Anime, Animation, Romance, Fantasy, Comedy","6.5",NA,"2015",""
"The Circus","14 (TV-14)","","7.1",NA,"2016",""
"Diesel Brothers","14 (TV-14)","Reality, Comedy, Documentary","6.6",NA,"2016",""
"The F Word"," 18 (TV-MA)","Food, Reality, Documentary","6.9",NA,"2005",""
"Second chance","7 (TV-PG)","Drama, Mystery, Romance, Comedy, Fantasy, Science-Fiction","6.9",NA,"2005","America, Colombia"
"The Wine Show",NA,"","8.9",NA,"2016",""
"F*ck That's Delicious","18 (TV-MA)","Comedy, Reality, Documentary, Food, Travel","7.9",NA,"2016",""
"Getting On","14 (TV-14)","","8.1",NA,"2009",""
"Hollyoaks"," 14 (TV-14)","","4.7",NA,"1995",""
"No Activity","18 (TV-MA)","","6.7",NA,"2017",""
"Little Women: Atlanta","14 (TV-14)","","5.1",NA,"2016",""
"Nightmare Next Door"," 14 (TV-14)","Documentary, Crime, Mystery, Thriller, Horror","7.1",NA,"2011",""
"The Beautiful Lie",NA,"","7.3",NA,"2015",""
"Webster","All (TV-G)","","5.7",NA,"1983",""
"Hunderby","14 (TV-14)","","7.4",NA,"2012",""
"Coupling","7 (TV-PG)","","3.6",NA,"2000",""
"No Activity","18 (TV-MA)","","7.9",NA,"2015",""
"Big Windup!","7 (TV-PG)","Animation, Comedy, Drama, Sport","7.6",NA,"2007",""
"Extreme Ghostbusters","7 (TV-PG)","Animation, Comedy, Family, Action & Adventure, Mystery, Children, Science-Fiction","6.9",NA,"1997",""
"Tim and Eric's Bedtime Stories","18 (TV-MA)","","7.9",NA,"2013","Free Services, Hulu, Adult Swim, fuboTV"
"America's Book of Secrets","7 (TV-PG)","","7",NA,"2012",""
"Rick Steves' Europe"," All (TV-G)","Documentary, Travel, Biography, History","8.4",NA,"2000",""
"Cold Squad","14 (TV-14)","Crime, Drama, Mystery","6.9",NA,"1998",""
"Pocoyo"," All (TV-G)","Animation, Family, Comedy, Children","7.5",NA,"2005",""
"Flying Witch"," All (TV-G)","Science-Fiction, Anime, Animation, Comedy, Fantasy","7.2",NA,"2016",""
"The Real Housewives of Orange County","14 (TV-14)","Drama, Reality, Documentary","4.1",NA,"2006",""
"Princess Tutu","14 (TV-14)","Action & Adventure, Animation, Comedy, Drama, Fantasy, Romance","8.1",NA,"2002",""
"You Bet Your Life",NA,"Comedy, Game Show, Family","8.4",NA,"1947",""
"The Commish","14 (TV-14)","Comedy, Crime, Drama, Mystery","7.1",NA,"1991",""
"Amagi Brilliant Park","14 (TV-14)","Animation, Anime, Comedy, Fantasy, Romance, Drama","7",NA,"2014",""
"Renegade",NA,"Action & Adventure, Crime, Drama","6",NA,"1992",""
"Is This a Zombie?","14 (TV-14)","Animation, Anime, Action & Adventure, Comedy, Fantasy, Romance","7.1",NA,"2011","Based on Books, Martial Arts, Vampire, Magic, Supernatural, Zombie, Parody, Mature"
"Ellen's Game of Games","7 (TV-PG)","Game Show, Comedy, Family","5.6",NA,"2017","HBO MAX, Hulu, NBC, fuboTV"
"Skin Wars","14 (TV-14)","","7.1",NA,"2014",""
"Arliss",NA,"","7",NA,"1996",""
"Prey","14 (TV-14)","Crime, Drama, Thriller","7.2",NA,"2014",""
"Kung Fu Panda: Legends of Awesomeness","7 (TV-PG)","Action & Adventure, Animation, Science-Fiction, Comedy, Fantasy, Children","6.1",NA,"2011",""
"Hangin' with Mr. Cooper","7 (TV-PG)","Comedy, Family, Sport","6.3",NA,"1992",""
"The Impostor",NA,"","7.8",NA,"2014",""
"Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru",NA,"Animation, Action & Adventure, Comedy, Drama, Fantasy","7.4",NA,"2019",""
"Fashion House","18 (TV-MA)","","6.5",NA,"2006",""
"L.A. Dragnet",NA,"","7.1",NA,"2003",""
"The Weekly","18 (TV-MA)","","6.5",38,"2019",""
"My Favorite Martian","All (TV-G)","Comedy, Family, Science-Fiction, Animation, Fantasy","7.3",NA,"1963",""
"Anyone But Me","14 (TV-14)","Drama, LGBTQ, Comedy","7.1",NA,"2009",""
"Tiger & Bunny","14 (TV-14)","Action & Adventure, Anime, Animation, Science-Fiction, Comedy, Crime","7.4",NA,"2011",""
"Are You Smarter Than a 5th Grader?","7 (TV-PG)","Reality, Family, Game Show","4.9",NA,"5",""
"Obsession: Dark Desires","14 (TV-14)","Drama, Documentary, Crime","7.4",NA,"2014",""
"Space Brothers"," 14 (TV-14)","Animation, Anime, Comedy, Science-Fiction, Drama","8.1",NA,"2012",""
